Source,Target,Weight
NCBITaxon:392009,MONDO:0018076,1
NCBITaxon:644,MONDO:0005027,1
NCBITaxon:469610,MONDO:0011565,1
NCBITaxon:1063,MONDO:0011565,1
NCBITaxon:39490,MONDO:0009061,1
NCBITaxon:823,MONDO:0011382,1
NCBITaxon:550,MONDO:0005052,1
NCBITaxon:823,MONDO:0005148,1
NCBITaxon:1732,MONDO:0018076,1
NCBITaxon:584,MONDO:0009061,1
NCBITaxon:29466,MONDO:0005147,1
NCBITaxon:1203555,MONDO:0005260,1
NCBITaxon:457392,MONDO:0010726,1
NCBITaxon:85698,MONDO:0018076,1
NCBITaxon:573,MONDO:0008383,1
NCBITaxon:1493,MONDO:0005101,2
NCBITaxon:67854,MONDO:0018076,1
NCBITaxon:51669,MONDO:0009061,1
NCBITaxon:187400,MONDO:0005260,1
NCBITaxon:487,MONDO:0005027,1
NCBITaxon:39488,MONDO:0005148,1
NCBITaxon:1681,MONDO:0005101,1
NCBITaxon:820,MONDO:0024388,1
NCBITaxon:100884,MONDO:0009061,1
NCBITaxon:89152,MONDO:0010726,1
NCBITaxon:1426,MONDO:0005101,1
NCBITaxon:571,MONDO:0005260,1
NCBITaxon:818,MONDO:0005260,1
NCBITaxon:1550,MONDO:0005154,1
NCBITaxon:550,MONDO:0024388,1
NCBITaxon:450749,MONDO:0009061,1
NCBITaxon:920,MONDO:0005052,1
NCBITaxon:1587,MONDO:0009061,1
NCBITaxon:97478,MONDO:0018076,1
NCBITaxon:303,MONDO:0008383,1
NCBITaxon:469585,MONDO:0005101,1
NCBITaxon:1747,MONDO:0009861,1
NCBITaxon:1406,MONDO:0005260,1
NCBITaxon:405212,MONDO:0018076,1
NCBITaxon:1423,MONDO:0011382,1
NCBITaxon:99675,MONDO:0005027,1
NCBITaxon:1423,MONDO:0005148,1
NCBITaxon:457394,MONDO:0005052,1
NCBITaxon:548,MONDO:0005260,1
NCBITaxon:1338,MONDO:0009061,1
NCBITaxon:542,MONDO:0018076,1
NCBITaxon:1547,MONDO:0005052,1
NCBITaxon:1548,MONDO:0005052,1
NCBITaxon:32046,MONDO:0011382,1
NCBITaxon:469593,MONDO:0005154,1
NCBITaxon:80866,MONDO:0008383,1
NCBITaxon:32046,MONDO:0005148,1
NCBITaxon:1590,MONDO:0005260,1
NCBITaxon:1623,MONDO:0008383,1
NCBITaxon:584,MONDO:0015183,1
NCBITaxon:469590,MONDO:0005101,1
NCBITaxon:907,MONDO:0010726,1
NCBITaxon:665943,MONDO:0005052,1
NCBITaxon:1358,MONDO:0005052,1
NCBITaxon:28450,MONDO:0005260,1
NCBITaxon:658655,MONDO:0018076,1
NCBITaxon:51669,MONDO:0015183,1
NCBITaxon:1748,MONDO:0005154,1
NCBITaxon:1517,MONDO:0009861,1
NCBITaxon:457394,MONDO:0024388,1
NCBITaxon:1280,MONDO:0011382,1
NCBITaxon:38289,MONDO:0005027,1
NCBITaxon:1833,MONDO:0005101,1
NCBITaxon:1280,MONDO:0005148,1
NCBITaxon:1548,MONDO:0024388,1
NCBITaxon:192,MONDO:0005148,1
NCBITaxon:1255,MONDO:0008383,1
NCBITaxon:392009,MONDO:0005260,1
NCBITaxon:51669,MONDO:0005147,1
NCBITaxon:106590,MONDO:0005027,1
NCBITaxon:450749,MONDO:0015183,1
NCBITaxon:644,MONDO:0005101,1
NCBITaxon:659,MONDO:0018076,1
NCBITaxon:1587,MONDO:0015183,1
NCBITaxon:665943,MONDO:0024388,1
NCBITaxon:1358,MONDO:0024388,1
NCBITaxon:971,MONDO:0010726,1
NCBITaxon:1732,MONDO:0005260,1
NCBITaxon:844,MONDO:0011565,1
NCBITaxon:85698,MONDO:0005260,1
NCBITaxon:729,MONDO:0010726,1
NCBITaxon:306,MONDO:0018076,1
NCBITaxon:67854,MONDO:0005260,1
NCBITaxon:450749,MONDO:0005147,1
NCBITaxon:457395,MONDO:0005052,1
NCBITaxon:28025,MONDO:0005154,1
NCBITaxon:217159,MONDO:0018076,1
NCBITaxon:83771,MONDO:0018076,1
NCBITaxon:457396,MONDO:0008383,1
NCBITaxon:469588,MONDO:0005154,1
NCBITaxon:658087,MONDO:0018076,1
NCBITaxon:487,MONDO:0005101,1
NCBITaxon:1246,MONDO:0009861,1
NCBITaxon:501571,MONDO:0009861,1
NCBITaxon:658082,MONDO:0011382,1
NCBITaxon:97478,MONDO:0005260,1
NCBITaxon:1265,MONDO:0009061,1
NCBITaxon:457395,MONDO:0024388,1
NCBITaxon:210,MONDO:0005154,1
NCBITaxon:585544,MONDO:0009061,1
NCBITaxon:84112,MONDO:0009061,1
NCBITaxon:405212,MONDO:0005260,1
NCBITaxon:573,MONDO:0005154,1
NCBITaxon:1396,MONDO:0005148,1
NCBITaxon:1309,MONDO:0009861,1
NCBITaxon:292800,MONDO:0011382,1
NCBITaxon:74426,MONDO:0008383,1
NCBITaxon:2021,MONDO:0011565,1
NCBITaxon:817,MONDO:0005101,2
NCBITaxon:99675,MONDO:0005101,1
NCBITaxon:1624,MONDO:0011382,1
NCBITaxon:542,MONDO:0005260,1
NCBITaxon:36832,MONDO:0024388,1
NCBITaxon:1624,MONDO:0005148,1
NCBITaxon:36745,MONDO:0024388,1
NCBITaxon:1042156,MONDO:0005027,1
NCBITaxon:1773,MONDO:0005052,1
NCBITaxon:1496,MONDO:0011382,1
NCBITaxon:881,MONDO:0015183,1
NCBITaxon:1496,MONDO:0005148,1
NCBITaxon:1597,MONDO:0009861,1
NCBITaxon:392409,MONDO:0005027,1
NCBITaxon:469592,MONDO:0009061,1
NCBITaxon:47678,MONDO:0005027,1
NCBITaxon:658655,MONDO:0005260,1
NCBITaxon:329,MONDO:0005148,1
NCBITaxon:881,MONDO:0005147,1
NCBITaxon:446660,MONDO:0024388,1
NCBITaxon:165179,MONDO:0015183,1
NCBITaxon:1203555,MONDO:0005052,1
NCBITaxon:29466,MONDO:0018076,1
NCBITaxon:38289,MONDO:0005101,1
NCBITaxon:1519,MONDO:0008383,1
NCBITaxon:469591,MONDO:0011565,1
NCBITaxon:1588,MONDO:0005154,1
NCBITaxon:1521,MONDO:0018076,1
NCBITaxon:457387,MONDO:0009061,1
NCBITaxon:457391,MONDO:0009061,1
NCBITaxon:83565,MONDO:0009061,1
NCBITaxon:216816,MONDO:0011565,1
NCBITaxon:28454,MONDO:0009061,1
NCBITaxon:187400,MONDO:0005052,1
NCBITaxon:13335,MONDO:0010726,1
NCBITaxon:165179,MONDO:0005147,1
NCBITaxon:544644,MONDO:0009861,1
NCBITaxon:659,MONDO:0005260,1
NCBITaxon:552396,MONDO:0011382,1
NCBITaxon:28116,MONDO:0010726,1
NCBITaxon:106590,MONDO:0005101,1
NCBITaxon:33035,MONDO:0005027,1
NCBITaxon:80866,MONDO:0005154,1
NCBITaxon:552396,MONDO:0005148,1
NCBITaxon:1265,MONDO:0015183,1
NCBITaxon:831,MONDO:0010726,1
NCBITaxon:1623,MONDO:0005154,1
NCBITaxon:1506,MONDO:0009861,1
NCBITaxon:571,MONDO:0005052,1
NCBITaxon:1351,MONDO:0005148,1
NCBITaxon:1686,MONDO:0005027,1
NCBITaxon:818,MONDO:0005052,1
NCBITaxon:1492,MONDO:0005027,1
NCBITaxon:585544,MONDO:0015183,1
NCBITaxon:84112,MONDO:0015183,1
NCBITaxon:469610,MONDO:0011382,1
NCBITaxon:287,MONDO:0018076,1
NCBITaxon:1203555,MONDO:0024388,1
NCBITaxon:1063,MONDO:0011382,1
NCBITaxon:306,MONDO:0005260,1
NCBITaxon:1515,MONDO:0005148,1
NCBITaxon:392412,MONDO:0011565,1
NCBITaxon:187400,MONDO:0024388,1
NCBITaxon:1265,MONDO:0005147,1
NCBITaxon:1490,MONDO:0011382,1
NCBITaxon:1406,MONDO:0005052,1
NCBITaxon:217159,MONDO:0005260,1
NCBITaxon:83771,MONDO:0005260,1
